"","TrialNum","Onset","TrueOns","Cond","Sentence","Resp","RT","correct","subind","runnum","cond_type","first","correct_first","group_num","group"
"1",0,0,0.03,2,"A fence walked to the mother.","nonsense",3.49229097366,1,"0_009","1","active_ns",0,0,1,"A_first"
"2",1,10.72,10.74,3,"The shirt was stained by mud.","sense",5.71239614487,1,"0_009","1","passive_s",1,1,1,"A_first"
"3",2,21.39,21.41,4,"Fire was licked by a banana.","nonsense",3.54347896576,1,"0_009","1","passive_ns",1,1,1,"A_first"
"4",3,38.56,38.57,1,"The banker counted the money.","sense",2.54493284225,1,"0_009","1","active_s",1,1,1,"A_first"
"5",4,54.45,54.46,4,"Pie was raised by the letter.","nonsense",4.43052697182,1,"0_009","1","passive_ns",1,1,1,"A_first"
"6",5,64.83,64.84,1,"The boy cleared off the table.","sense",2.70104789734,1,"0_009","1","active_s",1,1,1,"A_first"
"7",6,80.32,80.33,4,"A rope was sold by the frog.","nonsense",3.67592787743,1,"0_009","1","passive_ns",1,1,1,"A_first"
"8",7,90.96,90.97,2,"The snake asked for the father.","nonsense",5.52585411072,1,"0_009","1","active_ns",1,1,1,"A_first"
"9",8,106.1,106.11,2,"A basement won the family.","sense",6.37172794342,0,"0_009","1","active_ns",1,0,1,"A_first"
"10",9,116.71,116.72,1,"A tiger scared the zebra.","sense",2.51631903648,1,"0_009","1","active_s",1,1,1,"A_first"
"11",10,131.58,131.59,1,"A bird dropped the worm.","sense",3.58711910248,1,"0_009","1","active_s",1,1,1,"A_first"
"12",11,143.41,143.43,4,"The girl was told by a fork.","nonsense",4.86519002914,1,"0_009","1","passive_ns",1,1,1,"A_first"
"13",12,154.13,154.15,4,"Bread was scratched by a tray.","nonsense",5.07641911507,1,"0_009","1","passive_ns",1,1,1,"A_first"
"14",13,164.48,164.48,3,"The lamp was bought by the sister.",NA,NA,4,"0_009","1","passive_s",1,0,1,"A_first"
"15",14,182.42,182.43,1,"The uncle put sugar in the tea.","sense",7.01002001762,1,"0_009","1","active_s",1,1,1,"A_first"
"16",15,193.7,193.71,2,"A hen carried the dancer.","nonsense",4.18725800514,1,"0_009","1","active_ns",1,1,1,"A_first"
"17",16,206.11,206.12,4,"A chair was tasted by a frame.","nonsense",4.16658091545,1,"0_009","1","passive_ns",1,1,1,"A_first"
"18",17,223.68,223.69,3,"The show was seen by a child.","sense",5.92426991463,1,"0_009","1","passive_s",1,1,1,"A_first"
"19",18,234.74,234.75,3,"Soup was served by a woman.","sense",5.8121111393,1,"0_009","1","passive_s",1,1,1,"A_first"
"20",19,250.08,250.09,2,"The iron borrowed a teacher.","nonsense",3.6659579277,1,"0_009","1","active_ns",1,1,1,"A_first"
"21",20,260.45,260.46,3,"A cat was saved by a king.","sense",5.51409983635,1,"0_009","1","passive_s",1,1,1,"A_first"
"22",21,270.85,270.86,1,"The queen planted a flower.","sense",3.43304991722,1,"0_009","1","active_s",1,1,1,"A_first"
"23",22,280.9,280.92,3,"A rug was rolled by the actor.","nonsense",5.60632395744,0,"0_009","1","passive_s",1,0,1,"A_first"
"24",23,293.63,293.64,2,"The couch sang to the duck.","nonsense",3.62780189514,1,"0_009","1","active_ns",1,1,1,"A_first"
"25",24,304.11,304.13,4,"Pasta was waved by a fish.","nonsense",3.66849112511,1,"0_009","1","passive_ns",1,1,1,"A_first"
"26",25,314.89,314.9,1,"A mouse chewed on the cheese.","sense",4.22380590439,1,"0_009","1","active_s",1,1,1,"A_first"
"27",26,325.02,325.03,3,"A phone was used by a doctor.","sense",3.0033929348,1,"0_009","1","passive_s",1,1,1,"A_first"
"28",27,339.56,339.57,2,"The ear dressed a student.","nonsense",5.04358816147,1,"0_009","1","active_ns",1,1,1,"A_first"
"29",28,350.98,350.99,1,"A fly entered the house.","sense",3.11172294617,1,"0_009","1","active_s",1,1,1,"A_first"
"30",29,368.12,368.14,4,"A cup was cut by the pillow.","nonsense",4.94172000885,1,"0_009","1","passive_ns",1,1,1,"A_first"
"31",30,380.08,380.09,3,"Pizza was cooked by the man.",NA,NA,4,"0_009","1","passive_s",1,0,1,"A_first"
"32",31,395.78,395.8,2,"A joke hugged the dragon.","nonsense",4.06914615631,1,"0_009","1","active_ns",1,1,1,"A_first"
"33",0,0,0.03,1,"A cousin wanted a pillow.","sense",2.18716812134,1,"0_009","2","active_s",1,1,1,"A_first"
"34",1,10.16,10.17,2,"The woman scared the paper.","nonsense",3.30098891258,1,"0_009","2","active_ns",1,1,1,"A_first"
"35",2,25.97,25.98,3,"A home was entered by the men.","sense",4.25006484985,1,"0_009","2","passive_s",1,1,1,"A_first"
"36",3,40.97,40.98,3,"The plum was tasted by a bear.","nonsense",3.34008789062,0,"0_009","2","passive_s",1,0,1,"A_first"
"37",4,53.69,53.71,2,"The barn barked at the driver.","nonsense",6.23376512527,1,"0_009","2","active_ns",1,1,1,"A_first"
"38",5,64.57,64.58,3,"A song was sung by the cowboy.","sense",5.22006201744,1,"0_009","2","passive_s",1,1,1,"A_first"
"39",6,75.24,75.25,4,"A chicken was asked by a bell.","nonsense",3.21740293503,1,"0_009","2","passive_ns",1,1,1,"A_first"
"40",7,86.91,86.92,1,"The actress watched a show.","sense",4.40409588814,1,"0_009","2","active_s",1,1,1,"A_first"
"41",8,103.03,103.04,2,"The key opened the carrot.","nonsense",4.61136102676,1,"0_009","2","active_ns",1,1,1,"A_first"
"42",9,118.89,118.9,4,"Pizza was used by a book.","nonsense",4.9883389473,1,"0_009","2","passive_ns",1,1,1,"A_first"
"43",10,128.92,128.94,1,"A raccoon scratched at the box.","nonsense",5.31397485733,0,"0_009","2","active_s",1,0,1,"A_first"
"44",11,141.14,141.16,3,"The car was chased by a dog.","sense",3.94570398331,1,"0_009","2","passive_s",1,1,1,"A_first"
"45",12,151.22,151.23,3,"A rope was pulled by the ape.","nonsense",5.73440504074,0,"0_009","2","passive_s",1,0,1,"A_first"
"46",13,161.68,161.68,4,"A horse was peeled by salt.","nonsense",5.37721681595,1,"0_009","2","passive_ns",1,1,1,"A_first"
"47",14,172.84,172.85,2,"A boat raced in the library.","nonsense",6.20813322067,1,"0_009","2","active_ns",1,1,1,"A_first"
"48",15,183.02,183.03,3,"The movie was played by dad.","sense",4.50986099243,1,"0_009","2","passive_s",1,1,1,"A_first"
"49",16,195.2,195.21,4,"The soup was caught by a ring.","nonsense",4.57489895821,1,"0_009","2","passive_ns",1,1,1,"A_first"
"50",17,212.76,212.77,2,"The sock listened to the pig.","nonsense",4.4200630188,1,"0_009","2","active_ns",1,1,1,"A_first"
"51",18,223.41,223.43,1,"A clown let go of a balloon.","sense",6.99597501755,1,"0_009","2","active_s",1,1,1,"A_first"
"52",19,237.03,237.05,4,"The boy was owned by a lamp.","nonsense",5.887155056,1,"0_009","2","passive_ns",1,1,1,"A_first"
"53",20,248.04,248.05,1,"A falcon grabbed the egg.","nonsense",5.21588587761,0,"0_009","2","active_s",1,0,1,"A_first"
"54",21,258.46,258.47,3,"The test was read by a teacher.","sense",4.86623716354,1,"0_009","2","passive_s",1,1,1,"A_first"
"55",22,274.9,274.91,1,"The mother carried a cake.","sense",4.8164639473,1,"0_009","2","active_s",1,1,1,"A_first"
"56",23,289.51,289.52,4,"A table was planted by a kid.","nonsense",4.27092909813,1,"0_009","2","passive_ns",1,1,1,"A_first"
"57",24,303.52,303.53,2,"The flag roared at a flower.","nonsense",7.0176680088,1,"0_009","2","active_ns",1,1,1,"A_first"
"58",25,319.75,319.77,1,"A girl kicked the ball.","sense",3.15111088753,1,"0_009","2","active_s",1,1,1,"A_first"
"59",26,329.89,329.9,1,"The baker stirred the spoon.","nonsense",5.88718414307,0,"0_009","2","active_s",1,0,1,"A_first"
"60",27,343.4,343.41,4,"The door was eaten by a pot.","nonsense",3.5036740303,1,"0_009","2","passive_ns",1,1,1,"A_first"
"61",28,353.98,354,2,"A goat graded the mirror.","nonsense",4.73923611641,1,"0_009","2","active_ns",1,1,1,"A_first"
"62",29,370.82,370.84,3,"Seed was pecked by a hen.","sense",7.7398660183,1,"0_009","2","passive_s",1,1,1,"A_first"
"63",30,382.44,382.46,4,"A king was chewed by a tree.","nonsense",3.8424050808,1,"0_009","2","passive_ns",1,1,1,"A_first"
"64",31,392.48,392.5,2,"The banana lost the worm.","nonsense",4.05415487289,1,"0_009","2","active_ns",1,1,1,"A_first"
"65",0,0,0.03,4,"A test was cooked by a bat.","nonsense",4.42282319069,1,"0_013","1","passive_ns",1,1,1,"A_first"
"66",1,10.89,10.91,2,"The broom grabbed the queen.","nonsense",5.22400307655,1,"0_013","1","active_ns",1,1,1,"A_first"
"67",2,21.08,21.09,3,"The shot was given by a nurse.","sense",5.26478600502,1,"0_013","1","passive_s",1,1,1,"A_first"
"68",3,36.88,36.9,2,"A shirt chopped at the tray.","nonsense",3.62478899956,1,"0_013","1","active_ns",1,1,1,"A_first"
"69",4,50.82,50.84,1,"The lion roared at the meat.","nonsense",4.56210708618,0,"0_013","1","active_s",1,0,1,"A_first"
"70",5,61.13,61.14,4,"The mirror was read by a car.","nonsense",6.90633487701,1,"0_013","1","passive_ns",1,1,1,"A_first"
"71",6,75.94,75.95,3,"The grass was moved by wind.","sense",3.73957300186,1,"0_013","1","passive_s",1,1,1,"A_first"
"72",7,87.72,87.74,3,"A hand was licked by a puppy.","sense",5.98682117462,1,"0_013","1","passive_s",1,1,1,"A_first"
"73",8,99.72,99.72,4,"A song was picked by a cat.","nonsense",5.08877420425,1,"0_013","1","passive_ns",1,1,1,"A_first"
"74",9,111.38,111.4,4,"The dog was raised by a spoon.","nonsense",3.9495370388,1,"0_013","1","passive_ns",1,1,1,"A_first"
"75",10,122.22,122.23,1,"The worker built the barn.","sense",6.43222308159,1,"0_013","1","active_s",1,1,1,"A_first"
"76",11,134.13,134.14,2,"The table climbed on a brother.","nonsense",4.63672018051,1,"0_013","1","active_ns",1,1,1,"A_first"
"77",12,146.54,146.54,2,"A game owned the doctor.","nonsense",4.58188009262,1,"0_013","1","active_ns",1,1,1,"A_first"
"78",13,158.49,158.5,3,"Tea was stirred by the aunt.","sense",5.82851004601,1,"0_013","1","passive_s",1,1,1,"A_first"
"79",14,169.83,169.84,1,"The chicken ate some seed.","sense",3.0996389389,1,"0_013","1","active_s",1,1,1,"A_first"
"80",15,179.98,179.99,1,"A woman bought a pizza.","sense",3.0928170681,1,"0_013","1","active_s",1,1,1,"A_first"
"81",16,190.27,190.28,2,"The actress chased the sugar.","nonsense",4.48362803459,1,"0_013","1","active_ns",1,1,1,"A_first"
"82",17,200.64,200.65,3,"A worm was dropped by the bird.","nonsense",3.42082715034,0,"0_013","1","passive_s",1,0,1,"A_first"
"83",18,215.75,215.76,1,"The father played the movie.","sense",3.50798296928,1,"0_013","1","active_s",1,1,1,"A_first"
"84",19,225.84,225.84,3,"A gift was opened by a boy.","sense",3.82488489151,1,"0_013","1","passive_s",1,1,1,"A_first"
"85",20,235.87,235.88,1,"The sheep escaped from the wolf.","sense",4.99685001373,1,"0_013","1","active_s",1,1,1,"A_first"
"86",21,247.77,247.79,2,"The pillow jumped at a bear.","nonsense",5.01011490822,1,"0_013","1","active_ns",1,1,1,"A_first"
"87",22,257.97,257.97,3,"A pig was scared by a fox.","sense",5.42708206177,1,"0_013","1","passive_s",1,1,1,"A_first"
"88",23,268.09,268.09,3,"A wall was marked with paint.","sense",6.35741400719,1,"0_013","1","passive_s",1,1,1,"A_first"
"89",24,280.16,280.17,1,"The cattle listened to the bell.","sense",7.56732201576,1,"0_013","1","active_s",1,1,1,"A_first"
"90",25,296.87,296.89,4,"The phone was boiled by a rat.","nonsense",4.71610212326,1,"0_013","1","passive_ns",1,1,1,"A_first"
"91",26,312.85,312.86,2,"A ring prepared for a potato.","nonsense",7.74053192139,1,"0_013","1","active_ns",1,1,1,"A_first"
"92",27,330.61,330.62,4,"Mud was dressed by air.","nonsense",4.93859410286,1,"0_013","1","passive_ns",1,1,1,"A_first"
"93",28,343.48,343.49,1,"The baby rolled in the crib.","sense",3.10002017021,1,"0_013","1","active_s",1,1,1,"A_first"
"94",29,360.32,360.33,4,"Dirt was borrowed by the chalk.","nonsense",6.51129698753,1,"0_013","1","passive_ns",1,1,1,"A_first"
"95",30,370.6,370.62,2,"A plate stained a kitten.",NA,NA,4,"0_013","1","active_ns",1,0,1,"A_first"
"96",31,381.02,381.02,4,"The hill was addressed by soap.","nonsense",5.18500804901,1,"0_013","1","passive_ns",1,1,1,"A_first"
"97",0,0,0.03,1,"The child peeled the banana.","nonsense",3.59366202354,0,"0_013","2","active_s",1,0,1,"A_first"
"98",1,10.16,10.17,2,"The store cooked on the grass.","nonsense",3.54664206505,1,"0_013","2","active_ns",1,1,1,"A_first"
"99",2,25.97,25.98,3,"Pie was made by a cousin.","sense",4.87942290306,1,"0_013","2","passive_s",1,1,1,"A_first"
"100",3,40.97,40.98,3,"A fence was jumped by a horse.","sense",6.14373207092,1,"0_013","2","passive_s",1,1,1,"A_first"
"101",4,53.69,53.71,2,"The rabbit bought the worker.","nonsense",3.28615903854,1,"0_013","2","active_ns",1,1,1,"A_first"
"102",5,64.57,64.58,3,"A joke was told by the queen.","sense",5.23651599884,1,"0_013","2","passive_s",1,1,1,"A_first"
"103",6,75.24,75.25,4,"The woman was pulled by a nut.","sense",5.20866107941,0,"0_013","2","passive_ns",1,0,1,"A_first"
"104",7,86.91,86.92,1,"A mom addressed the letter.","sense",3.86827516556,1,"0_013","2","active_s",1,1,1,"A_first"
"105",8,103.03,103.04,2,"The soup hired a cowboy.","nonsense",4.16968297958,1,"0_013","2","active_ns",1,1,1,"A_first"
"106",9,118.89,118.9,4,"Iron was chased by the bee.","sense",5.28048801422,0,"0_013","2","passive_ns",1,0,1,"A_first"
"107",10,128.92,128.94,1,"The bear tasted the apple.","nonsense",5.32439899445,0,"0_013","2","active_s",1,0,1,"A_first"
"108",11,141.14,141.16,3,"The ring was owned by a dancer.","nonsense",6.73715019226,0,"0_013","2","passive_s",1,0,1,"A_first"
"109",12,151.22,151.23,3,"The book was read by a friend.","sense",5.7586350441,1,"0_013","2","passive_s",1,1,1,"A_first"
"110",13,161.68,161.68,4,"Sugar was moved by the sock.","sense",5.68170714378,0,"0_013","2","passive_ns",1,0,1,"A_first"
"111",14,172.84,172.85,2,"A chicken shopped at a movie.","nonsense",5.48067116737,1,"0_013","2","active_ns",1,1,1,"A_first"
"112",15,183.02,183.03,3,"Clay was rolled by the artist.","sense",7.92416715622,1,"0_013","2","passive_s",1,1,1,"A_first"
"113",16,195.2,195.21,4,"A ball was prepared by glass.","nonsense",3.4961400032,1,"0_013","2","passive_ns",1,1,1,"A_first"
"114",17,212.76,212.77,2,"The money counted the singer.","nonsense",4.19352912903,1,"0_013","2","active_ns",1,1,1,"A_first"
"115",18,223.41,223.43,1,"A nurse helped a student.","sense",4.38434505463,1,"0_013","2","active_s",1,1,1,"A_first"
"116",19,237.03,237.05,4,"A wolf was found by a fan.","nonsense",4.89950203896,1,"0_013","2","passive_ns",1,1,1,"A_first"
"117",20,248.04,248.05,1,"The aunt walked on the boat.","sense",5.40430402756,1,"0_013","2","active_s",1,1,1,"A_first"
"118",21,258.46,258.47,3,"Meat was eaten by a lion.","sense",7.82369995117,1,"0_013","2","passive_s",1,1,1,"A_first"
"119",22,274.9,274.91,1,"A driver honked at the walker.","nonsense",5.43601703644,0,"0_013","2","active_s",1,0,1,"A_first"
"120",23,289.51,289.52,4,"The mouse was graded by a flag.","nonsense",4.61529707909,1,"0_013","2","passive_ns",1,1,1,"A_first"
"121",24,303.52,303.53,2,"The puppy scored a dress.","nonsense",4.80496692657,1,"0_013","2","active_ns",1,1,1,"A_first"
"122",25,319.75,319.77,1,"A tree was planted in dirt.","sense",4.70463895798,1,"0_013","2","active_s",1,1,1,"A_first"
"123",26,329.89,329.9,1,"A family baked some bread.","sense",3.43934011459,1,"0_013","2","active_s",1,1,1,"A_first"
"124",27,343.4,343.41,4,"The mat was raced by a fox.","nonsense",5.97524905205,1,"0_013","2","passive_ns",1,1,1,"A_first"
"125",28,353.98,354,2,"A candle sold the question.","nonsense",4.64999890327,1,"0_013","2","active_ns",1,1,1,"A_first"
"126",29,370.82,370.84,3,"The spoon was waved by a cook.","sense",6.33708715439,1,"0_013","2","passive_s",1,1,1,"A_first"
"127",30,382.44,382.46,4,"A card was scared by a baby.",NA,NA,4,"0_013","2","passive_ns",1,0,1,"A_first"
"128",31,392.48,392.5,2,"The fork called to a sister.",NA,NA,4,"0_013","2","active_ns",1,0,1,"A_first"
"129",0,0,0.03,2,"The house chewed on the phone.","nonsense",3.61535191536,1,"0_013","3","active_ns",1,1,1,"A_first"
"130",1,10.72,10.74,3,"The door was shut by wind.","sense",2.64405012131,1,"0_013","3","passive_s",1,1,1,"A_first"
"131",2,21.39,21.41,4,"A father was spotted by the egg.","sense",5.65161395073,0,"0_013","3","passive_ns",1,0,1,"A_first"
"132",3,38.56,38.57,1,"The clerk asked a question.","nonsense",4.8249309063,0,"0_013","3","active_s",1,0,1,"A_first"
"133",4,54.45,54.46,4,"The actor was kicked by cake.","nonsense",6.58565402031,1,"0_013","3","passive_ns",1,1,1,"A_first"
"134",5,64.83,64.84,1,"A king wished for a horse.","nonsense",7.60428595543,0,"0_013","3","active_s",1,0,1,"A_first"
"135",6,80.32,80.33,4,"The bird was told by the boat.","nonsense",3.68397212029,1,"0_013","3","passive_ns",1,1,1,"A_first"
"136",7,90.96,90.97,2,"A rope listened to the salt.","nonsense",5.59388709068,1,"0_013","3","active_ns",1,1,1,"A_first"
"137",8,106.1,106.11,2,"The tiger played a letter.","nonsense",3.11243915558,1,"0_013","3","active_ns",1,1,1,"A_first"
"138",9,116.71,116.72,1,"The mother shopped at the store.","sense",6.12844085693,1,"0_013","3","active_s",1,1,1,"A_first"
"139",10,131.58,131.59,1,"A sister hugged the dancer.","sense",4.25018191338,1,"0_013","3","active_s",1,1,1,"A_first"
"140",11,143.41,143.43,4,"Meat was watched by an ear.","nonsense",4.78328609467,1,"0_013","3","passive_ns",1,1,1,"A_first"
"141",12,154.13,154.15,4,"A worm was jumped by a dress.","nonsense",4.82645821571,1,"0_013","3","passive_ns",1,1,1,"A_first"
"142",13,164.48,164.48,3,"Money was won by a team.","sense",4.22914409637,1,"0_013","3","passive_s",1,1,1,"A_first"
"143",14,182.42,182.43,1,"The friend borrowed a book.","sense",4.32822299004,1,"0_013","3","active_s",1,1,1,"A_first"
"144",15,193.7,193.71,2,"The lamp wrote to the nurse.","nonsense",5.05134296417,1,"0_013","3","active_ns",1,1,1,"A_first"
"145",16,206.11,206.12,4,"A clown was bought by the hen.","nonsense",5.72272610664,1,"0_013","3","passive_ns",1,1,1,"A_first"
"146",17,223.68,223.69,3,"The honey was made by a bee.","sense",4.18922591209,1,"0_013","3","passive_s",1,1,1,"A_first"
"147",18,234.74,234.75,3,"Water was splashed by a bear.","sense",5.03902602196,1,"0_013","3","passive_s",1,1,1,"A_first"
"148",19,250.08,250.09,2,"The seed raised a turtle.","sense",3.95272898674,0,"0_013","3","active_ns",1,0,1,"A_first"
